City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,santa cruz,-17.8,-63.1667,80.06,83,40,4.61,BO,1711845825
84,zhigalovo,54.8097,105.1578,24.35,87,100,2.59,RU,1711845826
85,ji'an,27.1172,114.9793,76.84,74,51,12.93,CN,1711845826
86,zheleznogorsk,52.331,35.3711,46.85,85,18,7.81,RU,1711845826
87,geraldton,-28.7667,114.6,64.81,88,81,11.5,AU,1711845571
88,lyakhavichy,53.0388,26.2656,52.63,86,100,7.74,BY,1711845827
89,ta`u,-14.2336,-169.5144,84.7,76,16,11.59,AS,1711845646
90,umm kaddadah,13.6017,26.6876,74.08,14,93,14.25,SD,1711845827
91,mount pearl,47.5166,-52.7813,40.14,94,100,5.75,CA,1711845828
92,nairn,57.5809,-3.8797,37.26,93,15,0.0,GB,1711845828
93,port mathurin,-19.6833,63.4167,80.55,85,100,8.25,MU,1711845828
94,essaouira,31.5125,-9.77,63.9,94,75,17.27,MA,1711845828
95,fada,9.5667,8.3,76.12,62,10,0.58,NG,1711845829
96,afaahiti,-17.75,-149.2833,84.07,80,52,20.92,PF,1711845680
97,lihue,21.9789,-159.3672,78.39,72,75,13.8,US,1711845589
98,mount darwin,-16.7725,31.5838,60.71,95,62,3.44,ZW,1711845829
99,bilibino,68.0546,166.4372,-9.99,79,7,4.81,RU,1711845588
100,nyagan,62.1406,65.3936,-2.49,97,15,0.94,RU,1711845829
101,margaret river,-33.95,115.0667,64.36,73,93,14.09,AU,1711845830
102,dunedin,-45.8742,170.5036,52.81,98,84,1.99,NZ,1711845659
103,souillac,-20.5167,57.5167,78.35,100,75,3.44,MU,1711845830
104,hadibu,12.65,54.0333,78.69,74,0,6.15,YE,1711845688
105,kapa'a,22.0752,-159.319,79.12,73,75,13.8,US,1711845589
106,sedalia,38.7045,-93.2283,69.71,40,40,4.61,US,1711845631
107,danville,36.586,-79.395,70.18,24,0,6.91,US,1711845668
108,ambon,-3.6954,128.1814,86.14,79,20,3.44,ID,1711845553
109,nogliki,51.8333,143.1667,31.33,90,99,11.99,RU,1711845645
110,buka,40.8108,69.1986,43.47,59,0,3.11,UZ,1711845831
111,borovskoy,53.8,64.15,23.88,90,45,8.46,KZ,1711845832
112,remire-montjoly,4.9167,-52.2667,78.84,94,0,1.14,GF,1711845633
113,maragogi,-9.0122,-35.2225,75.13,91,99,5.57,BR,1711845602
114,san julian,21.0167,-102.1667,70.83,12,66,7.05,MX,1711845832
115,st. thomas,42.7736,-81.1804,39.76,91,100,5.08,CA,1711845671
116,adzope,6.1069,-3.8619,76.57,90,12,2.17,CI,1711845832
117,sabzevar,36.2126,57.6819,53.74,31,99,5.19,IR,1711845833
118,enewetak,11.3474,162.3373,80.92,80,87,18.95,MH,1711845833
119,hermanus,-34.4187,19.2345,67.8,58,5,3.94,ZA,1711845833
120,olyokminsk,60.3736,120.4264,3.9,87,63,1.63,RU,1711845619
121,petropavlovsk-kamchatsky,53.0452,158.6483,30.79,88,75,15.66,RU,1711845653
122,northam,51.0333,-4.2167,48.38,87,97,15.03,GB,1711845608
123,turkmenbasy,40.0222,52.9552,47.17,93,75,6.91,TM,1711845834
124,chui,-33.6971,-53.4616,69.96,82,5,4.99,UY,1711845834
125,christchurch,-43.5333,172.6333,58.91,71,100,5.75,NZ,1711845572
126,howrah,22.5892,88.3103,77.0,83,40,14.97,IN,1711845835
127,kavaratti,10.5669,72.642,83.26,71,94,9.44,IN,1711845582
128,baicheng,45.6167,122.8167,30.02,30,0,13.76,CN,1711845835
129,hennenman,-27.9765,27.0242,61.3,68,69,6.2,ZA,1711845835
130,aswan,24.0934,32.907,76.3,29,0,3.44,EG,1711845594
131,wailua homesteads,22.0669,-159.378,77.79,74,75,13.8,US,1711845601
132,antsohihy,-14.8796,47.9875,76.26,92,58,2.3,MG,1711845836
133,la cruz,23.9167,-106.9,70.88,77,100,4.45,MX,1711845836
134,san antonio de pale,-1.4014,5.6325,83.41,81,100,10.83,GQ,1711845577
135,longyearbyen,78.2186,15.6401,-11.36,58,75,6.91,SJ,1711845837
136,shindand,33.3029,62.1474,48.15,46,100,2.04,AF,1711845837
137,brokopondo,4.75,-55.1667,81.91,72,81,8.05,SR,1711845837
138,canete,-37.8,-73.4,54.64,66,100,8.01,CL,1711845837
139,cidreira,-30.1811,-50.2056,72.0,84,0,9.62,BR,1711845663
140,college,64.8569,-147.8028,43.12,44,100,9.22,US,1711845575
141,obock,12.25,43.0833,71.29,88,100,13.33,DJ,1711845839
142,fale old settlement,-9.3852,-171.2468,86.04,73,5,11.83,TK,1711845576
143,vernon,50.2581,-119.2691,54.61,43,98,1.14,CA,1711845839
144,acarau,-2.8856,-40.12,77.02,89,100,6.22,BR,1711845639
145,belyy yar,53.6039,91.3903,39.09,70,0,17.9,RU,1711845840
146,papao,-17.75,-149.55,85.68,81,34,24.14,PF,1711845626
147,yurty,56.0498,97.6348,32.9,93,100,7.36,RU,1711845840
148,kralendijk,12.15,-68.2667,80.58,65,20,11.5,BQ,1711845675
149,hawaiian paradise park,19.5933,-154.9731,78.31,76,100,12.66,US,1711845586
150,massakory,12.996,15.7293,87.55,10,100,10.67,TD,1711845841
151,kupang,-10.1667,123.5833,90.18,79,20,8.05,ID,1711845842
152,nieuw amsterdam,5.8833,-55.0833,82.56,83,40,9.22,SR,1711845842
153,taitung city,22.7583,121.1444,77.27,73,75,3.44,TW,1711845842
154,inarajan village,13.2736,144.7484,86.14,78,97,19.75,GU,1711845843
155,udachny,66.4167,112.4,11.95,85,100,18.63,RU,1711845843
156,skelleftea,64.7507,20.9528,32.36,100,100,2.3,SE,1711845843
157,ust-nera,64.5667,143.2,12.4,90,100,3.78,RU,1711845572
158,nuuk,64.1835,-51.7216,27.21,80,20,6.91,GL,1711845420
159,carnarvon,-24.8667,113.6333,81.05,48,100,14.52,AU,1711845618
160,ciudad mante,22.7333,-98.9667,81.36,59,4,17.67,MX,1711845845
161,scottburgh,-30.2867,30.7532,68.72,88,25,12.39,ZA,1711845845
162,ponto novo,-10.8628,-40.1336,76.15,76,100,3.47,BR,1711845845
163,whakatane,-37.9585,176.9854,73.89,62,0,7.0,NZ,1711845845
164,salinopolis,-0.6136,-47.3561,79.23,87,100,3.87,BR,1711845846
165,walvis bay,-22.9575,14.5053,58.15,94,2,8.05,NA,1711845620
166,kodiak,57.79,-152.4072,38.71,93,100,18.41,US,1711845630
167,peniche,39.3558,-9.3811,51.12,89,100,23.31,PT,1711845732
168,lamu,-2.2717,40.902,82.13,83,98,8.12,KE,1711845596
169,olonkinbyen,70.9221,-8.7187,21.52,63,100,19.62,SJ,1711845847
170,ribeira grande,38.5167,-28.7,54.77,76,100,8.99,PT,1711845610
171,ilheus,-14.7889,-39.0494,78.62,94,0,0.0,BR,1711845682
172,ko lanta,7.5336,99.0865,81.25,78,100,5.19,TH,1711845847
173,paraiso,9.8383,-83.8656,74.26,93,25,3.06,CR,1711845848
174,revda,56.801,59.9303,33.64,97,100,10.58,RU,1711845645
175,tsiombe,-25.3,45.4833,71.8,88,16,9.95,MG,1711845639
176,avarua,-21.2078,-159.775,87.85,74,40,12.66,CK,1711845597
177,salalah,17.0151,54.0924,77.09,69,0,3.44,OM,1711845643
178,rosetta,31.4044,30.4164,63.75,86,0,8.52,EG,1711845849
179,chinsali,-10.5414,32.0816,63.88,97,100,7.76,ZM,1711845849
180,badger,64.8,-147.5333,43.05,42,20,9.22,US,1711845572
181,san patricio,28.017,-97.5169,76.95,72,80,13.35,US,1711845629
182,greymouth,-42.4667,171.2,60.76,65,100,5.44,NZ,1711845849
183,dudinka,69.4058,86.1778,10.67,97,100,4.0,RU,1711845625
184,paita,-5.0892,-81.1144,73.38,76,57,13.56,PE,1711845850
185,cole harbour,44.6724,-63.4751,36.93,75,50,10.0,CA,1711845850
186,hithadhoo,-0.6,73.0833,83.44,74,9,1.81,MV,1711845616
187,sao joao da barra,-21.6403,-41.0511,75.29,91,97,2.53,BR,1711845850
188,sorokino,53.75,84.9167,32.86,77,100,18.97,RU,1711845850
189,lompoc,34.6391,-120.4579,54.01,68,75,17.27,US,1711845585
190,cabo san lucas,22.8909,-109.9124,83.5,63,75,13.8,MX,1711845589
191,west island,-12.1568,96.8225,80.58,78,40,13.8,CC,1711845603
192,port lincoln,-34.7333,135.8667,72.0,53,3,3.74,AU,1711845379
193,harstad,68.799,16.5293,28.15,94,100,5.01,NO,1711845852
194,el calafate,-50.3408,-72.2768,41.61,73,14,9.24,AR,1711845852
195,dakhla,23.6848,-15.958,64.22,85,100,9.98,EH,1711845852
196,camana,-16.6228,-72.7111,72.39,85,77,6.29,PE,1711845852
197,benemerito de las americas,16.5167,-90.6439,82.08,52,0,4.05,MX,1711845852
198,hurricane,37.1753,-113.2899,53.51,60,99,11.88,US,1711845853
199,saldanha,-33.0117,17.9442,66.25,85,5,11.21,ZA,1711845600
200,kone,-21.0595,164.8658,84.78,43,0,4.63,NC,1711845659
201,demre,36.2537,29.9777,66.02,54,11,4.21,TR,1711845853
202,lorengau,-2.0226,147.2712,85.3,74,38,12.39,PG,1711845854
203,bredasdorp,-34.5322,20.0403,67.33,66,7,4.09,ZA,1711845581
204,utrik,11.2278,169.8474,80.37,80,54,23.29,MH,1711845584
205,mil'kovo,55.6078,37.7956,43.99,96,20,5.75,RU,1711845614
206,tolanaro,-25.0319,46.9987,73.47,94,40,6.91,MG,1711845637
207,isafjordur,66.0755,-23.124,24.82,71,94,29.66,IS,1711845854
208,ormara,25.2088,64.6357,75.9,32,100,10.07,PK,1711845855
209,anthony,32.004,-106.6058,75.65,13,0,5.75,US,1711845572
210,alpine,32.835,-116.7664,49.78,88,100,1.01,US,1711845855
211,palikir - national government center,6.9248,158.1611,86.74,70,100,17.27,FM,1711845855
212,tazovsky,67.4667,78.7,5.36,93,100,17.43,RU,1711845855
213,gore,-46.1028,168.9436,57.33,75,100,0.83,NZ,1711845855
214,strezhevoy,60.7333,77.5889,16.97,89,81,15.01,RU,1711845856
215,argo,37.6333,22.7333,59.43,51,88,3.49,GR,1711845856
216,ciudad rodrigo,40.6,-6.5333,39.78,97,100,5.95,ES,1711845655
217,port isabel,26.0734,-97.2086,75.29,81,100,13.8,US,1711845856
218,tura,25.5198,90.2201,72.93,83,0,5.82,IN,1711845644
219,touros,-5.1989,-35.4608,77.29,92,100,9.19,BR,1711845682
220,narvik,68.4384,17.4272,27.37,91,100,3.29,NO,1711845857
221,rongelap,11.1635,166.8941,81.03,80,98,18.9,MH,1711845606
222,lanzhou,36.0564,103.7922,60.35,25,31,1.45,CN,1711845857
223,greenville,35.6127,-77.3663,68.13,36,0,8.05,US,1711845857
224,beeskow,52.1667,14.25,55.35,70,100,3.8,DE,1711845858
225,vorgashor,67.5833,63.95,-4.54,99,100,7.65,RU,1711845858
226,gulf shores,30.246,-87.7008,68.05,68,0,6.91,US,1711845698
227,codrington,-38.2667,141.9667,70.47,50,10,7.4,AU,1711845605
228,angol,-37.8,-72.7167,55.13,64,100,6.33,CL,1711845668
229,sitka,57.0531,-135.33,48.09,71,100,11.5,US,1711845859
230,georgetown,5.4112,100.3354,80.94,89,20,3.44,MY,1711845481
231,zaysan,47.4667,84.8667,37.45,71,100,6.11,KZ,1711845859
232,mount gambier,-37.8333,140.7667,74.17,40,12,4.7,AU,1711845610
233,luderitz,-26.6481,15.1594,59.36,96,12,1.88,NA,1711845613
234,maitum,6.0392,124.4986,85.51,65,100,3.6,PH,1711845860
235,prien,30.1819,-93.2738,71.62,72,0,11.5,US,1711845860
236,suzhou,31.3114,120.6181,57.42,79,100,8.25,CN,1711845860
237,phalodi,27.1333,72.3667,70.29,51,0,8.39,IN,1711845860
238,kilinochchi,9.3961,80.3982,76.37,91,40,4.45,LK,1711845860
239,asau,46.4333,26.4,49.28,63,73,5.37,RO,1711845861
240,kiunga,-6.1219,141.2906,77.83,91,100,1.25,PG,1711845861
241,tchintabaraden,15.8969,5.7985,85.75,13,100,11.63,NE,1711845861
242,swakopmund,-22.6833,14.5333,58.05,89,6,3.67,NA,1711845862
243,kailua-kona,19.6406,-155.9956,79.29,78,40,12.66,US,1711845657
244,talara,-4.5772,-81.2719,77.76,69,40,18.41,PE,1711845862
245,ulundi,-28.3352,31.4162,63.34,92,81,2.26,ZA,1711845862
246,kochenevo,55.0218,82.202,31.39,93,100,15.73,RU,1711845665
247,hirara,24.8,125.2833,77.27,100,75,17.27,JP,1711845560
248,fort myers shores,26.7092,-81.7459,73.99,64,0,8.05,US,1711845863
249,crane,31.3974,-102.3501,76.98,15,95,8.46,US,1711845604
250,atafu village,-8.5421,-172.5159,85.86,73,71,12.37,TK,1711845599
251,north battleford,52.7834,-108.2847,25.41,58,0,9.22,CA,1711845864
252,grande prairie,55.1667,-118.8027,46.58,23,75,13.8,CA,1711845626
253,pailon,-17.65,-62.75,81.5,78,59,4.43,BO,1711845865
254,egilsstadir,65.2653,-14.3948,28.31,80,100,19.57,IS,1711845613
255,tadine,-21.55,167.8833,77.09,68,81,12.71,NC,1711845654
256,mammoth lakes,37.6485,-118.9721,30.92,68,75,12.66,US,1711845771
257,faya-largeau,17.9257,19.1043,84.16,12,4,14.2,TD,1711845866
258,karatuzskoye,53.6072,92.8667,36.37,95,100,3.0,RU,1711845866
259,olinda,-8.0089,-34.8553,82.13,83,75,11.5,BR,1711845579
260,karachi,24.9056,67.0822,75.02,64,100,4.61,PK,1711845580
261,lazaro cardenas,17.9583,-102.2,78.01,62,100,7.52,MX,1711845867
262,marsabit,2.3284,37.9899,68.94,73,100,14.88,KE,1711845867
263,labytnangi,66.6572,66.4183,-4.94,86,3,8.63,RU,1711845665
264,pyt-yakh,60.7499,72.8582,7.99,95,8,6.85,RU,1711845868
265,shashemene,7.2,38.6,62.28,78,97,2.95,ET,1711845869
266,puerto baquerizo moreno,-0.9,-89.6,77.52,78,42,9.66,EC,1711845607
267,durango,24.8333,-104.8333,69.49,17,38,15.39,MX,1711845869
268,puerto maldonado,-12.6,-69.1833,76.77,89,100,2.37,PE,1711845870
269,vadso,70.0744,29.7487,23.88,86,100,16.11,NO,1711845629
270,sydney,-33.8679,151.2073,79.59,69,40,4.0,AU,1711845824
271,quellon,-43.1167,-73.6167,46.49,80,72,3.15,CL,1711845870
272,oranjestad,12.524,-70.027,80.55,65,20,13.8,AW,1711845870
273,hammerfest,70.6634,23.6821,23.45,80,75,14.97,NO,1711845662
274,kita,13.0349,-9.4895,87.8,19,100,4.03,ML,1711845871
275,nagqu,31.5,92.0,28.92,61,76,3.38,CN,1711845637
276,prince albert,53.2001,-105.7677,26.55,59,20,3.44,CA,1711845871
277,anadyr,64.75,177.4833,0.1,84,75,8.95,RU,1711845593
278,edgewater,28.9889,-80.9023,73.13,71,0,8.05,US,1711845872
279,kurgan,55.45,65.3333,32.95,95,100,10.0,RU,1711845864
280,queenstown,-31.8976,26.8753,58.82,70,1,2.93,ZA,1711845633
281,kurchatov,51.6601,35.6521,50.41,79,20,7.58,RU,1711845872
282,saint-leu,-21.15,55.2833,76.06,75,16,0.74,RE,1711845873
283,constantia,44.1833,28.65,48.88,86,5,11.14,RO,1711845611
284,ballyclare,54.7667,-6.0167,41.47,93,100,6.91,GB,1711845873
285,nova sintra,14.8667,-24.7167,67.32,71,93,12.46,CV,1711845602
286,ghat,24.9647,10.1728,73.18,9,0,4.9,LY,1711845873
287,guimar,28.3039,-16.4325,62.74,69,6,3.31,ES,1711845873
288,uturoa,-16.7333,-151.4333,84.29,78,40,18.37,PF,1711845627
289,lethbridge,49.7,-112.8186,40.17,70,20,11.5,CA,1711845874
290,sanya,18.2431,109.505,84.36,79,40,4.47,CN,1711845874
291,hamilton,39.1834,-84.5333,73.35,47,0,11.5,US,1711845839
292,kingston,17.997,-76.7936,83.35,72,20,9.22,JM,1711845757
293,midvagur,62.0511,-7.1939,40.03,87,100,11.5,FO,1711845875
294,takoradi,4.8845,-1.7554,80.96,87,40,5.88,GH,1711845595
295,lebu,-37.6167,-73.65,55.69,76,100,20.4,CL,1711845610
296,rmi capitol,7.0893,171.3805,87.75,70,100,13.8,MH,1711845876
297,yuzhno-kurilsk,44.0306,145.8556,33.37,79,100,7.54,RU,1711845630
298,flying fish cove,-10.4217,105.6791,80.28,78,100,10.36,CX,1711845594
299,lata,40.1629,-8.3327,46.08,97,100,5.59,PT,1711845667
300,tazacorte,28.629,-17.9293,67.17,85,0,13.8,ES,1711845877
301,nikol'sk,53.7189,46.0712,34.74,99,100,5.93,RU,1711845877
302,la'ie,21.6477,-157.9253,80.56,74,78,5.99,US,1711845644
303,al bardiyah,31.7561,25.0865,62.94,80,7,6.71,LY,1711845878
304,fort mcmurray,56.7268,-111.381,36.91,38,0,11.5,CA,1711845404
305,ancud,-41.8697,-73.8203,49.06,71,100,7.27,CL,1711845643
306,brady,31.1352,-99.3351,75.52,77,0,10.36,US,1711845878
307,dwarka,22.2394,68.9678,74.97,71,39,9.44,IN,1711845878
308,laojunmiao,39.8333,97.7333,54.16,14,5,3.98,CN,1711845879
309,nova floresta,-6.4553,-36.2033,71.11,93,100,3.85,BR,1711845879
310,koryazhma,61.3143,47.1691,37.9,99,100,5.1,RU,1711845879
311,mahina,-17.5065,-149.489,85.77,70,75,4.61,PF,1711845648
312,mendi,-6.1761,143.6513,67.15,84,89,3.56,PG,1711845879
313,taulaga,-11.0553,-171.0883,85.77,72,7,10.2,AS,1711845879
314,nouadhibou,20.931,-17.0347,64.38,77,100,14.97,MR,1711845880
315,east wenatchee bench,47.4257,-120.2812,60.96,40,0,9.22,US,1711845880
316,fuengirola,36.54,-4.6247,57.2,88,100,6.91,ES,1711845880
317,jinjiang,24.8198,118.5741,71.06,90,100,10.22,CN,1711845880
318,ludington,43.9553,-86.4526,36.21,94,100,6.91,US,1711845880
319,khenifra,32.9333,-5.6667,52.27,88,100,15.1,MA,1711845662
320,sosnovo-ozerskoye,52.5249,111.5418,14.88,50,96,1.1,RU,1711845629
321,manadhoo,5.7667,73.3833,84.42,70,9,5.37,MV,1711845881
322,vila velha,-20.3297,-40.2925,76.95,96,75,11.01,BR,1711845846
323,bikenibeu village,1.3673,173.1241,83.26,78,29,17.02,KI,1711845882
